Date,Publication,Headline,URL,Ideology
2019-03-09,The Guardian,"treatment of unvaccinated boy with tetanus cost nearly $1m, cdc says",https://www.theguardian.com/us-news/2019/mar/09/cdc-treatment-cost-tetanus-unvaccinated-oregon-boy,Liberal
2019-03-10,The Guardian,a startup says used tissues are safer than vaccinations. should you trust it?,https://www.theguardian.com/business/2019/mar/10/vaev-tissue-startup-anti-vaccination-movement-used-tissues,Liberal
2019-03-13,Daily Mail,"twitter ceo slammed for praising fitness writer who claimed 'vaccines do indeed cause autism' after he appeared on his podcast        +9           jack dorsey has found himself at the center of new scrutiny after he appeared on a podcast hosted by fitness writer ben greenfield, who is also known for promoting anti-vaccination theories.",https://www.dailymail.co.uk/news/article-6804769/Twitter-CEO-slammed-praising-anti-vaxxer-appearing-podcast.html,Conservative
2019-03-19,Daily Mail,kentucky teen who refuses to get the chickenpox vaccine 'because it contains aborted fetal cells' sues his school for barring him from basketball practice and classes,https://www.dailymail.co.uk/health/article-6826603/Kentucky-teen-refuses-chickenpox-vaccine-SUES-school.html,Conservative
2019-03-19,Daily Mail,"russian speakers hardest-hit by measles in washington: myths quickly spread among close-knit community panicked over fetal-tissue-based vaccines, report says",https://www.dailymail.co.uk/health/article-6828113/Russian-speakers-hardest-hit-measles-Washington-myths-fly.html,Conservative
2019-03-21,Daily Mail,grieving mother whose 5-year-old son died of flu was attacked online by anti-vaxxer trolls,https://www.dailymail.co.uk/health/article-6827411/Mother-5-year-old-son-died-flu-attacked-anti-vaxxer-trolls.html,Conservative
2019-03-25,Daily Mail,"measles cases soar above 300 in nationwide outbreak fueled by anti-vaxxers, cdc says",https://www.dailymail.co.uk/health/article-6849207/Measles-cases-soar-300-nationwide-outbreak-fueled-anti-vaxxers-CDC-says.html,Conservative
2019-03-26,The Guardian,new york  county bans unvaccinated children from public spaces amid measles outbreak,https://www.theguardian.com/society/2019/mar/26/measles-outbreak-new-york-state-of-emergency-rockland-county,Liberal
2019-03-26,The Guardian,county bans unvaccinated children from public spaces amid measles outbreak,https://www.theguardian.com/society/2019/mar/26/measles-outbreak-new-york-state-of-emergency-rockland-county,Liberal
2019-03-27,Daily Mail,notorious anti-vaxxer robert f kennedy jr blames rise in teen anxiety and depression on aluminum in the hpv vaccine - but we eat almost 10 times as much of the metal a day,https://www.dailymail.co.uk/health/article-6857485/Notorious-anti-vaxxer-Robert-F-Kennedy-Jr-blames-teen-mental-illness-HPV-vaccine.html,Conservative
2019-03-27,The Guardian,measles outbreak  new york county bans unvaccinated children in public,https://www.theguardian.com/us-news/2019/mar/27/measles-outbreak-new-york-ban-children-rockwood-country-latest,Liberal
2019-03-27,The Guardian,new york county bans unvaccinated children in public,https://www.theguardian.com/us-news/2019/mar/27/measles-outbreak-new-york-ban-children-rockwood-country-latest,Liberal
2019-03-29,New York Times,"an outbreak spreads fear: of measles, of ultra-orthodox jews, of anti-semitisma measles outbreak in a new york suburb has sickened scores of people. authorities have traced it to ultra-orthodox families whose children have not been vaccinated.the outbreak is intensifying tensions between the rapidly expanding orthodox community and secular society.",https://www.nytimes.com/2019/03/29/nyregion/measles-jewish-community.html,Liberal
